Script started on 2025-12-21 21:59:53+03:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="80" LINES="23"]
]0;ubuntu2@codeby: ~[01;32mubuntu2@codeby[00m:[01;34m~[00m$ ps aux
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
ubuntu2     1352  0.0  0.1  98780  4672 ?        Ssl  18:20   0:00 /usr/libexec/
ubuntu2     1359  0.0  0.5 568832 15436 ?        Ssl  18:20   0:00 /usr/libexec/
ubuntu2     1374  0.7 13.3 4243124 406220 ?      Ssl  18:20   1:36 /usr/bin/gnom
ubuntu2     1398  0.0  0.3 396972  9452 ?        Sl   18:20   0:00 ibus-daemon -
ubuntu2     1402  0.0  0.2 248900  8244 ?        Sl   18:20   0:00 /usr/libexec/
ubuntu2     1403  0.0  1.0 286848 31648 ?        Sl   18:20   0:00 /usr/libexec/
ubuntu2     1407  0.0  0.9 209180 28544 ?        Sl   18:20   0:00 /usr/libexec/
ubuntu2     1412  0.0  0.2 248696  7700 ?        Sl   18:20   0:00 /usr/libexec/
ubuntu2     1421  0.0  0.2 161428  6792 ?        Sl   18:20   0:00 /usr/libexec/
ubuntu2     1424  0.0  0.1 244436  4676 ?        Ssl  18:20   0:00 /usr/libexec/
ubuntu2     1430  0.0  0.6 583368 19488 ?        Sl   18:20   0:00 /usr/libexec/
ubuntu2     1438  0.0  0.7 1081188 24132 ?       Ssl  18:20   0:00 /usr/libexec/
ubuntu2     1444  0.0  0.1 156372  5312 ?        Sl   18:20   0:00 /usr/libexec/
ubuntu2     1449  0.0  0.9 849636 28132 ?        Ssl  18:20   0:00 /usr/libexec/
ubuntu2     1461  0.0  0.9 758240 27672 ?        Ssl  18:20   0:00 /usr/libexec/
ubuntu2     1476  0.0  0.8 2605080 25032 ?       Sl   18:20   0:00 /usr/bin/gjs 
ubuntu2     1486  0.0  0.3 326008  9748 ?        Sl   18:21   0:00 /usr/libexec/
ubuntu2     1493  0.0  0.2 322448  8080 ?        Ssl  18:21   0:00 /usr/libexec/
ubuntu2     1494  0.0  0.9 589960 30200 ?        Ssl  18:21   0:00 /usr/libexec/
ubuntu2     1495  0.0  0.5 383736 15204 ?        Ssl  18:21   0:00 /usr/libexec/
ubuntu2     1496  0.0  0.2 322784  8604 ?        Ssl  18:21   0:00 /usr/libexec/
ubuntu2     1497  0.0  0.9 357308 29252 ?        Ssl  18:21   0:00 /usr/libexec/
ubuntu2     1498  0.0  1.0 911048 30948 ?        Ssl  18:21   0:00 /usr/libexec/
ubuntu2     1500  0.0  0.9 357944 29264 ?        Ssl  18:21   0:00 /usr/libexec/
ubuntu2     1502  0.0  0.3 257536  9804 ?        Ssl  18:21   0:00 /usr/libexec/
ubuntu2     1505  0.0  0.1 466092  5828 ?        Ssl  18:21   0:00 /usr/libexec/
ubuntu2     1511  0.0  0.1 244404  5480 ?        Ssl  18:21   0:00 /usr/libexec/
ubuntu2     1512  0.0  0.3 478188 10956 ?        Ssl  18:21   0:00 /usr/libexec/
ubuntu2     1513  0.0  0.3 326808  9640 ?        Ssl  18:21   0:00 /usr/libexec/
ubuntu2     1514  0.0  0.3 328904  9616 ?        Ssl  18:21   0:00 /usr/libexec/
ubuntu2     1515  0.0  0.2 396516  8356 ?        Ssl  18:21   0:00 /usr/libexec/
ubuntu2     1516  0.0  0.9 283108 28332 ?        Ssl  18:21   0:00 /usr/libexec/
ubuntu2     1517  0.0  0.3 326880  9356 ?        Ssl  18:21   0:00 /usr/libexec/
ubuntu2     1518  0.0  0.9 357780 29764 ?        Ssl  18:21   0:00 /usr/libexec/
ubuntu2     1525  0.0  0.9 213044 29020 ?        Ssl  18:21   0:00 /usr/bin/spic
ubuntu2     1560  0.0  0.1 231452  5488 ?        Sl   18:21   0:00 /usr/libexec/
ubuntu2     1561  0.0  1.8 654496 56048 ?        Sl   18:21   0:00 /usr/libexec/
ubuntu2     1633  0.0  0.3 351188 12148 ?        Sl   18:21   0:00 /usr/libexec/
ubuntu2     1638  0.0  0.2 175024  7660 ?        Sl   18:21   0:00 /usr/libexec/
ubuntu2     1687  0.0  0.1 171200  5756 ?        Ssl  18:21   0:00 /usr/libexec/
ubuntu2     1690  0.0  1.1 507228 34304 ?        Sl   18:22   0:01 update-notifi
root        2048  0.0  1.2 1922340 37820 ?       Ssl  18:25   0:05 /usr/lib/snap
root        2833  0.0  0.0      0     0 ?        I    20:06   0:01 [kworker/1:0-
ubuntu2     2857  0.0  1.7 877272 54208 ?        Sl   20:08   0:00 /usr/bin/gnom
ubuntu2     2861  0.0  1.4 479548 43440 ?        SLl  20:08   0:00 /usr/bin/seah
ubuntu2     2863  0.0  1.6 821592 49040 ?        Ssl  20:08   0:02 /usr/libexec/
ubuntu2     2939  0.0  0.1  19156  4708 pts/1    Ss+  20:08   0:00 bash
root        3036  0.0  0.0      0     0 ?        I    20:19   0:00 [kworker/u4:2
root        3154  0.0  0.0      0     0 ?        I    21:25   0:00 [kworker/u4:1
ubuntu2     3283  0.0  0.3 613072  9760 ?        Sl   21:37   0:00 /usr/libexec/
ubuntu2     3296  0.0  0.2 324304  7544 ?        Sl   21:37   0:00 /usr/libexec/
root        3311  0.0  0.0      0     0 ?        I    21:37   0:00 [kworker/0:2-
root        3391  0.0  0.0      0     0 ?        I    21:39   0:00 [kworker/1:2-
root        3430  0.0  0.2  15744  7760 ?        Ss   21:39   0:00 sshd: ubuntu2
ubuntu2     3512  0.0  0.1  15744  4316 ?        R    21:39   0:00 sshd: ubuntu2
ubuntu2     3513  0.0  0.1  19140  4684 pts/0    Ss   21:39   0:00 -bash
root        3560  0.0  0.0      0     0 ?        I    21:50   0:00 [kworker/0:1-
root        3565  0.0  0.0      0     0 ?        R    21:55   0:00 [kworker/u4:0
ubuntu2     3569  0.0  0.0  16388  1896 pts/0    S+   21:59   0:00 script ps-log
ubuntu2     3570  0.0  0.1  19144  4652 pts/2    Ss   21:59   0:00 bash -i
ubuntu2     3577  0.3  0.7 444212 24276 ?        Ssl  21:59   0:00 /usr/libexec/
ubuntu2     3584  0.0  0.0  19708  2824 pts/2    R+   22:00   0:00 ps aux
]0;ubuntu2@codeby: ~[01;32mubuntu2@codeby[00m:[01;34m~[00m$ ps -u $`[K
$_                         $LC_ADDRESS
$_backup_glob              $LC_IDENTIFICATION
$BASH                      $LC_MEASUREMENT
$BASH_ALIASES              $LC_MONETARY
$BASH_ARGC                 $LC_NAME
